Term1_avg,Term2_avg,Seq5_score,Attendance_percentage,Study_hours_per_day,Homework_completion,Extra_lessons,Class_participation,Sleep_hours,Parental_support,Teacher_quality,Peer_influence,Access_to_resources,Family_income,Internet_access,School_type,Learning_disabilities,Physical_activity,Pass
73,73,73,84,3.2857142857142856,115,0,0,7,0,1.0,2,2,0,1,0,0,3,0
59,59,59,64,2.7142857142857144,95,2,0,8,0,1.0,0,1,1,1,0,0,4,0
91,91,91,98,3.4285714285714284,120,2,1,7,1,1.0,1,1,1,1,0,0,4,1
98,98,98,89,4.142857142857143,145,1,1,8,0,1.0,0,1,1,1,0,0,4,1
65,65,65,92,2.7142857142857144,95,3,1,6,1,2.0,1,1,1,1,0,0,4,1
89,89,89,88,2.7142857142857144,95,3,1,8,1,1.0,2,1,1,1,0,0,3,1
68,68,68,84,4.142857142857143,145,1,0,7,1,1.0,1,0,0,1,1,0,2,0
50,50,50,78,3.5714285714285716,125,1,1,6,0,2.0,0,2,2,1,0,0,2,0
80,80,80,94,2.4285714285714284,85,0,2,6,1,0.0,1,2,1,1,1,0,1,1
71,71,71,98,3.2857142857142856,115,0,1,8,1,2.0,2,1,2,1,0,0,5,1
88,88,88,80,2.4285714285714284,85,4,1,8,0,2.0,1,2,1,0,1,0,4,1
87,87,87,97,2.4285714285714284,85,2,0,6,1,2.0,1,2,0,1,1,0,2,1
97,97,97,83,3.0,105,2,0,8,1,1.0,2,1,1,1,0,0,4,1
72,72,72,82,1.2857142857142858,45,2,1,8,1,1.0,2,1,1,1,1,0,3,0
74,74,74,78,1.4285714285714286,50,1,1,8,1,1.0,1,2,0,1,1,0,4,0
70,70,70,68,2.4285714285714284,85,2,1,8,1,1.0,2,1,1,1,1,0,4,0
65,65,65,60,2.0,70,0,0,10,1,1.0,2,0,2,1,1,0,3,0
82,82,82,70,3.142857142857143,110,1,1,6,0,2.0,1,1,0,1,0,0,3,0
91,91,91,80,2.142857142857143,75,3,0,9,1,1.0,2,1,0,1,0,0,2,0
58,58,58,75,1.7142857142857142,60,3,1,7,1,1.0,2,2,1,1,1,0,4,0
99,99,99,78,4.142857142857143,145,0,2,5,1,1.0,0,1,2,1,0,0,1,1
84,84,84,99,2.7142857142857144,95,1,1,6,1,2.0,1,2,1,1,0,0,3,1
89,89,89,74,2.857142857142857,100,1,0,8,1,1.0,0,2,1,1,0,0,2,0
100,100,100,78,1.5714285714285714,55,1,2,8,2,1.0,1,1,0,1,0,0,3,0
75,75,75,65,2.4285714285714284,85,2,1,5,0,1.0,2,2,0,1,0,0,3,0
54,54,54,62,3.0,105,0,2,6,2,2.0,2,0,2,1,0,0,3,0
90,90,90,91,1.8571428571428572,65,1,1,6,0,1.0,0,1,2,1,0,1,2,0
94,94,94,83,3.142857142857143,110,0,1,6,2,1.0,1,2,2,1,0,0,2,1
58,58,58,90,2.2857142857142856,80,1,1,4,1,1.0,1,1,0,1,0,0,3,0
51,51,51,66,2.5714285714285716,90,2,0,4,2,1.0,1,2,0,1,1,0,2,0
57,57,57,83,2.2857142857142856,80,0,1,6,0,0.0,2,1,2,1,0,1,4,0
66,66,66,70,4.428571428571429,155,1,1,7,1,1.0,0,2,2,1,0,0,3,1
96,96,96,69,2.857142857142857,100,2,1,8,1,2.0,2,1,1,1,0,0,3,0
50,50,50,60,2.0,70,2,1,5,2,1.0,1,1,1,1,0,0,3,0
90,90,90,65,3.5714285714285716,125,2,1,5,2,1.0,2,1,1,1,0,0,3,1
93,93,93,72,1.8571428571428572,65,1,0,6,0,1.0,0,1,0,1,0,0,3,0
91,91,91,65,3.0,105,2,0,7,1,2.0,2,0,1,1,0,0,3,0
54,54,54,99,1.1428571428571428,40,2,0,9,1,1.0,1,1,0,1,0,0,5,0
84,84,84,72,1.7142857142857142,60,1,1,8,0,1.0,2,1,0,1,0,0,5,0
98,98,98,65,3.0,105,1,0,6,0,2.0,0,1,1,1,0,0,4,0
56,56,56,68,3.4285714285714284,120,3,0,8,2,2.0,1,1,2,1,0,0,1,0
52,52,52,84,3.0,105,1,0,6,1,2.0,1,1,1,1,0,1,2,0
94,94,94,63,2.7142857142857144,95,1,1,7,0,1.0,2,2,1,1,1,0,3,0
82,82,82,94,2.5714285714285716,90,3,1,7,1,1.0,0,2,1,1,1,1,2,1
82,82,82,98,1.5714285714285714,55,1,0,9,1,1.0,2,1,1,1,1,0,3,1
98,98,98,70,2.2857142857142856,80,2,1,8,1,1.0,2,1,1,1,0,0,3,0
88,88,88,78,2.4285714285714284,85,1,1,6,1,2.0,2,1,1,1,1,0,3,1
70,70,70,61,3.7142857142857144,130,2,1,6,1,1.0,2,0,0,1,0,0,3,0
